titleItalian,titleEnglish,genre,CEFR,italian,english
La rivoluzione industriale,The Industrial Revolution,history,B1,,
La psicologia della felicità,The Psychology of Happiness,psychology,B1,,
Il Rinascimento,The Renaissance,history,B1,,
L'energia segreta delle piante,The Secret Energy of Plants,science,B1,,
Shining,The Shining,horror,B1,,
Le piccole scelte che ci plasmano,The Small Choices That Shape Us,dialogue,B1,,
L'Inquisizione spagnola,The Spanish Inquisition,history,B1,,
Il problema dei tre corpi,The Three-Body Problem,science fiction,B1,,
The Truman Show,The Truman Show,drama,B1,,
Il mago di Oz,The Wizard of Oz,fantasy,B1,,
Case minuscole,Tiny Homes,culture,B1,,
Tragici difetti nella letteratura,Tragic Flaws in Literature,drama,B1,,
Tropi,Tropes,drama,B1,,
Alleanze improbabili nella storia,Unlikely Alliances in History,history,B1,,
Mezzi di trasporto insoliti,Unusual Modes of Transportation,travel,B1,,
Vaccini,Vaccines,health,B1,,
Virus,Viruses,science,B1,,
"Wicked, parte I","Wicked, Part I",fantasy,B1,,
"Wicked, parte II","Wicked, Part II",fantasy,B1,,
Sistemi di scrittura,Writing Systems,language,B1,,
Intelligenza artificiale e medicina,AI and Medicine,technology,B2,,
Storia alternativa,Alternate History,fantasy,B2,,
Antica Roma,Ancient Rome,history,B2,,
Diritti degli animali,Animal Rights,philosophy,B2,,
Intelligenza artificiale nella narrativa,Artificial Intelligence in Fiction,science fiction,B2,,
Ateismo,Atheism,philosophy,B2,,
Buchi neri,Black Holes,science,B2,,
Roghi di libri,Book Burnings,history,B2,,
Società senza contanti,Cashless Societies,technology,B2,,
Che Guevara,Che Guevara,biography,B2,,
Cristianesimo,Christianity,philosophy,B2,,
Ritmi circadiani,Circadian Rhythms,health,B2,,
Claudia Sheinbaum,Claudia Sheinbaum,biography,B2,,
Pregiudizi cognitivi,Cognitive Biases,psychology,B2,,
Teorie del complotto,Conspiracy Theories,psychology,B2,,
Desiderio contro desiderio,Craving Versus Longing,psychology,B2,,
Cyberpunk,Cyberpunk,science fiction,B2,,
Dibattito su un film controverso,Debating a Controversial Film,dialogue,B2,,
Nomadi digitali,Digital Nomads,culture,B2,,
I sogni come espedienti narrativi,Dreams as a Narrative Devices,drama,B2,,
Dualità nei personaggi,Dualities in Characters,drama,B2,,
Se mi lasci ti cancello,Eternal Sunshine of the Spotless Mind,drama,B2,,
Consumismo etico,Ethical Consumerism,philosophy,B2,,
Eva Perón,Eva Perón,biography,B2,,
Esopianeti,Exoplanets,science,B2,,
Esplorando una casa infestata,Exploring a Haunted House,horror,B2,,
Femminismo,Feminism,politics,B2,,
Spagna franchista,Francoist Spain,history,B2,,
Friedrich Nietzsche,Friedrich Nietzsche,biography,B2,,
Icone gay,Gay Icons,culture,B2,,
Homo Deus,Homo Deus,history,B2,,
Islam,Islam,philosophy,B2,,
Jorge Luis Borges,Jorge Luis Borges,biography,B2,,
Ebraismo,Judaism,philosophy,B2,,
Liberalismo,Liberalism,politics,B2,,
,Lost in Space,science fiction,B2,,
,Lost in Translation,drama,B2,,
,Maglev Trains,technology,B2,,
,Meditation,psychology,B2,,
,Mental Health,health,B2,,
,Mesopotamia,history,B2,,
,Mob Mentalities,psychology,B2,,
,Modern Dictatorships,politics,B2,,
,Modern Propaganda,politics,B2,,
,Multitasking,psychology,B2,,
,Natalie Wynn,philosophy,B2,,
,Neurodiversity,psychology,B2,,
,Nineteen Eighty-Four,drama,B2,,
,Overcoming a Language Barrier,monologue,B2,,
,Personality Traits,psychology,B2,,
,Phoenixes,fantasy,B2,,
,Procrastination,psychology,B2,,
,Queer Life in Spain,culture,B2,,
,Sapiens,history,B2,,
,Scandinavian Design,culture,B2,,
,Smartphones,technology,B2,,
,Social Media,technology,B2,,
,Socrates' Quest for Truth,philosophy,B2,,
,Spanish–United States Relations,history,B2,,
,Staple Foods,food,B2,,
,Terraforming Mars,science fiction,B2,,
,The Allegory of the Cave,philosophy,B2,,
,The Allure of Hidden Places,psychology,B2,,
,The Cabin in the Dark,horror,B2,,
,The City in the Trees,fantasy,B2,,
,The Cold War,history,B2,,
,The Crisis of Masculinity,culture,B2,,
,The Ethics of Artificial Intelligence,technology,B2,,
,The Fear of Missing Out,psychology,B2,,
,The Future of Work,technology,B2,,
,The Lives of Others,drama,B2,,
,The Nation-State,politics,B2,,
,The Norse Gods,fantasy,B2,,
,The Placebo Effect,psychology,B2,,
,The Psychology of Loneliness,psychology,B2,,
,The Raven,horror,B2,,
,The Role of Travel in Self-Discovery,travel,B2,,
,The Space Race,history,B2,,
,The Spanish Civil War,history,B2,,
,The Spanish Empire,history,B2,,
,The Theory of Evolution,science,B2,,
,The Uncanny Valley,psychology,B2,,
,The United Nations,politics,B2,,
,Tokyo,travel,B2,,
,Vegetarian Cooking,food,B2,,
,What is Beauty?,philosophy,B2,,
,Why I Collect Maps,monologue,B2,,
,World War I,history,B2,,
,World War II,history,B2,,
,World-Building,fantasy,B2,,
,Zen Buddhism,philosophy,B2,,
,Alan Watts,biography,C,,
,An Enemy of the People,drama,C,,
,Authoritarian Populism,politics,C,,
,Catching Up After Years Apart,dialogue,C,,
,Colonialism,history,C,,
,Death in Philosophy,philosophy,C,,
,Envy,psychology,C,,
,Existentialism,philosophy,C,,
,Fascism,politics,C,,
,Fermented Foods,food,C,,
,Free Will,philosophy,C,,
,Horseshoe Theory,politics,C,,
,Identity,psychology,C,,
,Impermanence,philosophy,C,,
,Marxism,politics,C,,
,Nazis in Argentina,history,C,,
,Nothingness,philosophy,C,,
,Pattern Recognition,psychology,C,,
,Peer Gynt,drama,C,,
,Political Polarization,politics,C,,
,Political Satire,politics,C,,
,Sigmund Freud,biography,C,,
,Simone de Beauvoir,biography,C,,
,Social Welfare States,politics,C,,
,Socratic Philosophy,philosophy,C,,
,Spanish in the United States,language,C,,
,"Synecdoche, New York",psychology,C,,
,The Banality of Evil,philosophy,C,,
,The Constitution of Spain,politics,C,,
,The Good Life,philosophy,C,,
,The History of Disinformation,history,C,,
,The Kafkaesque,drama,C,,
,The Legend of Zelda - Ocarina of Time,culture,C,,
,The Metamorphosis,drama,C,,
,The Paradox of Choice,psychology,C,,
,The Philosophy of Second Languages,philosophy,C,,
,The Weight of Ordinary Lives,dialogue,C,,
,The Wild Duck,drama,C,,
,Time Travel,fantasy,C,,
,White Lies,philosophy,C,,
